datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
6/1/2020 4:00:00 AM,6/1/2020 12:00:00 AM,RTO,RTO,RTO,RTO,62076.147,False
6/1/2020 5:00:00 AM,6/1/2020 1:00:00 AM,RTO,RTO,RTO,RTO,59578.756,False
6/1/2020 6:00:00 AM,6/1/2020 2:00:00 AM,RTO,RTO,RTO,RTO,58185.867,False
6/1/2020 7:00:00 AM,6/1/2020 3:00:00 AM,RTO,RTO,RTO,RTO,57679.404,False
6/1/2020 8:00:00 AM,6/1/2020 4:00:00 AM,RTO,RTO,RTO,RTO,58505.335,False
6/1/2020 9:00:00 AM,6/1/2020 5:00:00 AM,RTO,RTO,RTO,RTO,60984.236,False
6/1/2020 10:00:00 AM,6/1/2020 6:00:00 AM,RTO,RTO,RTO,RTO,64410.544,False
6/1/2020 11:00:00 AM,6/1/2020 7:00:00 AM,RTO,RTO,RTO,RTO,68773.730,False
6/1/2020 12:00:00 PM,6/1/2020 8:00:00 AM,RTO,RTO,RTO,RTO,72089.349,False
6/1/2020 1:00:00 PM,6/1/2020 9:00:00 AM,RTO,RTO,RTO,RTO,74055.760,False
6/1/2020 2:00:00 PM,6/1/2020 10:00:00 AM,RTO,RTO,RTO,RTO,75590.813,False
6/1/2020 3:00:00 PM,6/1/2020 11:00:00 AM,RTO,RTO,RTO,RTO,76909.449,False
6/1/2020 4:00:00 PM,6/1/2020 12:00:00 PM,RTO,RTO,RTO,RTO,78156.357,False
6/1/2020 5:00:00 PM,6/1/2020 1:00:00 PM,RTO,RTO,RTO,RTO,79045.778,False
6/1/2020 6:00:00 PM,6/1/2020 2:00:00 PM,RTO,RTO,RTO,RTO,79400.319,False
6/1/2020 7:00:00 PM,6/1/2020 3:00:00 PM,RTO,RTO,RTO,RTO,79846.847,False
6/1/2020 8:00:00 PM,6/1/2020 4:00:00 PM,RTO,RTO,RTO,RTO,80900.756,False
6/1/2020 9:00:00 PM,6/1/2020 5:00:00 PM,RTO,RTO,RTO,RTO,82616.864,False
