datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,zone,da_temperature_set
7/1/2018 4:00:00 AM,7/1/2018 12:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 3:00:00 AM,AE,86-NIGHT
7/1/2018 4:00:00 AM,7/1/2018 12:00:00 AM,7/1/2018 5:00:00 AM,7/1/2018 1:00:00 AM,AEP,86-NIGHT
7/1/2018 4:00:00 AM,7/1/2018 12:00:00 AM,7/1/2018 5:00:00 AM,7/1/2018 1:00:00 AM,AP,86-NIGHT
7/1/2018 4:00:00 AM,7/1/2018 12:00:00 AM,7/1/2018 5:00:00 AM,7/1/2018 1:00:00 AM,ATSI,86-NIGHT
7/1/2018 4:00:00 AM,7/1/2018 12:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 3:00:00 AM,BC,86-NIGHT
7/1/2018 4:00:00 AM,7/1/2018 12:00:00 AM,7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,CE,95-NIGHT
7/1/2018 4:00:00 AM,7/1/2018 12:00:00 AM,7/1/2018 5:00:00 AM,7/1/2018 1:00:00 AM,DAY,86-NIGHT
7/1/2018 4:00:00 AM,7/1/2018 12:00:00 AM,7/1/2018 5:00:00 AM,7/1/2018 1:00:00 AM,DEOK,86-NIGHT
7/1/2018 4:00:00 AM,7/1/2018 12:00:00 AM,7/1/2018 5:00:00 AM,7/1/2018 1:00:00 AM,DOM,86-NIGHT
7/1/2018 4:00:00 AM,7/1/2018 12:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 3:00:00 AM,DPL,86-NIGHT
7/1/2018 4:00:00 AM,7/1/2018 12:00:00 AM,7/1/2018 10:00:00 AM,7/1/2018 6:00:00 AM,DUQ,77-NIGHT
7/1/2018 4:00:00 AM,7/1/2018 12:00:00 AM,7/1/2018 8:00:00 AM,7/1/2018 4:00:00 AM,EKPC,86-NIGHT
7/1/2018 4:00:00 AM,7/1/2018 12:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 3:00:00 AM,JC,86-NIGHT
7/1/2018 4:00:00 AM,7/1/2018 12:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 3:00:00 AM,ME,86-NIGHT
7/1/2018 4:00:00 AM,7/1/2018 12:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 3:00:00 AM,PE,86-NIGHT
7/1/2018 4:00:00 AM,7/1/2018 12:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 3:00:00 AM,PEP,86-NIGHT
7/1/2018 4:00:00 AM,7/1/2018 12:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 3:00:00 AM,PL,86-NIGHT
7/1/2018 4:00:00 AM,7/1/2018 12:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 3:00:00 AM,PN,86-NIGHT
7/1/2018 4:00:00 AM,7/1/2018 12:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 3:00:00 AM,PS,86-NIGHT
7/1/2018 5:00:00 AM,7/1/2018 1:00:00 AM,7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,AEP,77-NIGHT
7/1/2018 5:00:00 AM,7/1/2018 1:00:00 AM,7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,AP,77-NIGHT
7/1/2018 5:00:00 AM,7/1/2018 1:00:00 AM,7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,ATSI,77-NIGHT
7/1/2018 5:00:00 AM,7/1/2018 1:00:00 AM,7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,DAY,77-NIGHT
7/1/2018 5:00:00 AM,7/1/2018 1:00:00 AM,7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,DEOK,77-NIGHT
7/1/2018 5:00:00 AM,7/1/2018 1:00:00 AM,7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,DOM,77-NIGHT
7/1/2018 7:00:00 AM,7/1/2018 3:00:00 AM,7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,AE,77-NIGHT
7/1/2018 7:00:00 AM,7/1/2018 3:00:00 AM,7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,BC,77-NIGHT
7/1/2018 7:00:00 AM,7/1/2018 3:00:00 AM,7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,DPL,77-NIGHT
7/1/2018 7:00:00 AM,7/1/2018 3:00:00 AM,7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,JC,77-NIGHT
7/1/2018 7:00:00 AM,7/1/2018 3:00:00 AM,7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,ME,77-NIGHT
7/1/2018 7:00:00 AM,7/1/2018 3:00:00 AM,7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,PE,77-NIGHT
7/1/2018 7:00:00 AM,7/1/2018 3:00:00 AM,7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,PEP,77-NIGHT
7/1/2018 7:00:00 AM,7/1/2018 3:00:00 AM,7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,PL,77-NIGHT
7/1/2018 7:00:00 AM,7/1/2018 3:00:00 AM,7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,PN,77-NIGHT
7/1/2018 7:00:00 AM,7/1/2018 3:00:00 AM,7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,PS,77-NIGHT
7/1/2018 8:00:00 AM,7/1/2018 4:00:00 AM,7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,EKPC,77-NIGHT
7/1/2018 10:00:00 AM,7/1/2018 6:00:00 AM,7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,DUQ,68-NIGHT
7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 2:00:00 PM,7/1/2018 10:00:00 AM,AE,86-DAY
7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 1:00:00 PM,7/1/2018 9:00:00 AM,AEP,77-DAY
7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 1:00:00 PM,7/1/2018 9:00:00 AM,AP,77-DAY
7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 1:00:00 PM,7/1/2018 9:00:00 AM,ATSI,77-DAY
7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 2:00:00 PM,7/1/2018 10:00:00 AM,BC,86-DAY
7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,7/2/2018 3:00:00 AM,7/1/2018 11:00:00 PM,CE,95-DAY
7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 1:00:00 PM,7/1/2018 9:00:00 AM,DAY,77-DAY
7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 12:00:00 PM,7/1/2018 8:00:00 AM,DEOK,77-DAY
7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 12:00:00 PM,7/1/2018 8:00:00 AM,DOM,77-DAY
7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 2:00:00 PM,7/1/2018 10:00:00 AM,DPL,86-DAY
7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 1:00:00 PM,7/1/2018 9:00:00 AM,DUQ,77-DAY
7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 12:00:00 PM,7/1/2018 8:00:00 AM,EKPC,77-DAY
7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 2:00:00 PM,7/1/2018 10:00:00 AM,JC,86-DAY
7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 2:00:00 PM,7/1/2018 10:00:00 AM,ME,86-DAY
7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 2:00:00 PM,7/1/2018 10:00:00 AM,PE,86-DAY
7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 2:00:00 PM,7/1/2018 10:00:00 AM,PEP,86-DAY
7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 2:00:00 PM,7/1/2018 10:00:00 AM,PL,86-DAY
7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 2:00:00 PM,7/1/2018 10:00:00 AM,PN,86-DAY
7/1/2018 11:00:00 AM,7/1/2018 7:00:00 AM,7/1/2018 2:00:00 PM,7/1/2018 10:00:00 AM,PS,86-DAY
7/1/2018 12:00:00 PM,7/1/2018 8:00:00 AM,7/1/2018 4:00:00 PM,7/1/2018 12:00:00 PM,DEOK,86-DAY
7/1/2018 12:00:00 PM,7/1/2018 8:00:00 AM,7/1/2018 3:00:00 PM,7/1/2018 11:00:00 AM,DOM,86-DAY
7/1/2018 12:00:00 PM,7/1/2018 8:00:00 AM,7/1/2018 3:00:00 PM,7/1/2018 11:00:00 AM,EKPC,86-DAY
7/1/2018 1:00:00 PM,7/1/2018 9:00:00 AM,7/1/2018 4:00:00 PM,7/1/2018 12:00:00 PM,AEP,86-DAY
7/1/2018 1:00:00 PM,7/1/2018 9:00:00 AM,7/1/2018 4:00:00 PM,7/1/2018 12:00:00 PM,AP,86-DAY
7/1/2018 1:00:00 PM,7/1/2018 9:00:00 AM,7/1/2018 4:00:00 PM,7/1/2018 12:00:00 PM,ATSI,86-DAY
7/1/2018 1:00:00 PM,7/1/2018 9:00:00 AM,7/1/2018 4:00:00 PM,7/1/2018 12:00:00 PM,DAY,86-DAY
7/1/2018 1:00:00 PM,7/1/2018 9:00:00 AM,7/1/2018 4:00:00 PM,7/1/2018 12:00:00 PM,DUQ,86-DAY
7/1/2018 2:00:00 PM,7/1/2018 10:00:00 AM,7/2/2018 2:00:00 AM,7/1/2018 10:00:00 PM,AE,95-DAY
7/1/2018 2:00:00 PM,7/1/2018 10:00:00 AM,7/2/2018 2:00:00 AM,7/1/2018 10:00:00 PM,BC,95-DAY
7/1/2018 2:00:00 PM,7/1/2018 10:00:00 AM,7/2/2018 2:00:00 AM,7/1/2018 10:00:00 PM,DPL,95-DAY
7/1/2018 2:00:00 PM,7/1/2018 10:00:00 AM,7/2/2018 2:00:00 AM,7/1/2018 10:00:00 PM,JC,95-DAY
7/1/2018 2:00:00 PM,7/1/2018 10:00:00 AM,7/2/2018 2:00:00 AM,7/1/2018 10:00:00 PM,ME,95-DAY
7/1/2018 2:00:00 PM,7/1/2018 10:00:00 AM,7/2/2018 2:00:00 AM,7/1/2018 10:00:00 PM,PE,95-DAY
7/1/2018 2:00:00 PM,7/1/2018 10:00:00 AM,7/2/2018 2:00:00 AM,7/1/2018 10:00:00 PM,PEP,95-DAY
7/1/2018 2:00:00 PM,7/1/2018 10:00:00 AM,7/2/2018 2:00:00 AM,7/1/2018 10:00:00 PM,PL,95-DAY
7/1/2018 2:00:00 PM,7/1/2018 10:00:00 AM,7/2/2018 2:00:00 AM,7/1/2018 10:00:00 PM,PN,95-DAY
7/1/2018 2:00:00 PM,7/1/2018 10:00:00 AM,7/2/2018 2:00:00 AM,7/1/2018 10:00:00 PM,PS,95-DAY
7/1/2018 3:00:00 PM,7/1/2018 11:00:00 AM,7/2/2018 1:00:00 AM,7/1/2018 9:00:00 PM,DOM,95-DAY
7/1/2018 3:00:00 PM,7/1/2018 11:00:00 AM,7/2/2018 12:00:00 AM,7/1/2018 8:00:00 PM,EKPC,95-DAY
7/1/2018 4:00:00 PM,7/1/2018 12:00:00 PM,7/2/2018 1:00:00 AM,7/1/2018 9:00:00 PM,AEP,95-DAY
7/1/2018 4:00:00 PM,7/1/2018 12:00:00 PM,7/2/2018 1:00:00 AM,7/1/2018 9:00:00 PM,AP,95-DAY
7/1/2018 4:00:00 PM,7/1/2018 12:00:00 PM,7/2/2018 1:00:00 AM,7/1/2018 9:00:00 PM,ATSI,95-DAY
7/1/2018 4:00:00 PM,7/1/2018 12:00:00 PM,7/2/2018 12:00:00 AM,7/1/2018 8:00:00 PM,DAY,95-DAY
7/1/2018 4:00:00 PM,7/1/2018 12:00:00 PM,7/2/2018 12:00:00 AM,7/1/2018 8:00:00 PM,DEOK,95-DAY
7/1/2018 4:00:00 PM,7/1/2018 12:00:00 PM,7/2/2018 1:00:00 AM,7/1/2018 9:00:00 PM,DUQ,95-DAY
7/2/2018 12:00:00 AM,7/1/2018 8:00:00 PM,7/2/2018 3:00:00 AM,7/1/2018 11:00:00 PM,DAY,86-DAY
7/2/2018 12:00:00 AM,7/1/2018 8:00:00 PM,7/2/2018 3:00:00 AM,7/1/2018 11:00:00 PM,DEOK,86-DAY
7/2/2018 12:00:00 AM,7/1/2018 8:00:00 PM,7/2/2018 3:00:00 AM,7/1/2018 11:00:00 PM,EKPC,86-DAY
7/2/2018 1:00:00 AM,7/1/2018 9:00:00 PM,7/2/2018 3:00:00 AM,7/1/2018 11:00:00 PM,AEP,86-DAY
7/2/2018 1:00:00 AM,7/1/2018 9:00:00 PM,7/2/2018 3:00:00 AM,7/1/2018 11:00:00 PM,AP,86-DAY
7/2/2018 1:00:00 AM,7/1/2018 9:00:00 PM,7/2/2018 3:00:00 AM,7/1/2018 11:00:00 PM,ATSI,86-DAY
7/2/2018 1:00:00 AM,7/1/2018 9:00:00 PM,7/2/2018 3:00:00 AM,7/1/2018 11:00:00 PM,DOM,86-DAY
7/2/2018 1:00:00 AM,7/1/2018 9:00:00 PM,7/2/2018 3:00:00 AM,7/1/2018 11:00:00 PM,DUQ,86-DAY
7/2/2018 2:00:00 AM,7/1/2018 10:00:00 PM,7/2/2018 3:00:00 AM,7/1/2018 11:00:00 PM,AE,86-DAY
