datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
6/1/2019 4:00:00 AM,6/1/2019 12:00:00 AM,RTO,RTO,RTO,RTO,75786.442,False
6/1/2019 5:00:00 AM,6/1/2019 1:00:00 AM,RTO,RTO,RTO,RTO,71257.599,False
6/1/2019 6:00:00 AM,6/1/2019 2:00:00 AM,RTO,RTO,RTO,RTO,68252.540,False
6/1/2019 7:00:00 AM,6/1/2019 3:00:00 AM,RTO,RTO,RTO,RTO,66298.675,False
6/1/2019 8:00:00 AM,6/1/2019 4:00:00 AM,RTO,RTO,RTO,RTO,65508.045,False
6/1/2019 9:00:00 AM,6/1/2019 5:00:00 AM,RTO,RTO,RTO,RTO,66349.051,False
6/1/2019 10:00:00 AM,6/1/2019 6:00:00 AM,RTO,RTO,RTO,RTO,67091.202,False
6/1/2019 11:00:00 AM,6/1/2019 7:00:00 AM,RTO,RTO,RTO,RTO,70261.996,False
6/1/2019 12:00:00 PM,6/1/2019 8:00:00 AM,RTO,RTO,RTO,RTO,74715.844,False
6/1/2019 1:00:00 PM,6/1/2019 9:00:00 AM,RTO,RTO,RTO,RTO,79150.458,False
6/1/2019 2:00:00 PM,6/1/2019 10:00:00 AM,RTO,RTO,RTO,RTO,83132.175,False
6/1/2019 3:00:00 PM,6/1/2019 11:00:00 AM,RTO,RTO,RTO,RTO,87014.332,False
6/1/2019 4:00:00 PM,6/1/2019 12:00:00 PM,RTO,RTO,RTO,RTO,90480.190,False
6/1/2019 5:00:00 PM,6/1/2019 1:00:00 PM,RTO,RTO,RTO,RTO,93413.859,False
6/1/2019 6:00:00 PM,6/1/2019 2:00:00 PM,RTO,RTO,RTO,RTO,96156.577,False
6/1/2019 7:00:00 PM,6/1/2019 3:00:00 PM,RTO,RTO,RTO,RTO,98707.482,False
6/1/2019 8:00:00 PM,6/1/2019 4:00:00 PM,RTO,RTO,RTO,RTO,100500.096,False
6/1/2019 9:00:00 PM,6/1/2019 5:00:00 PM,RTO,RTO,RTO,RTO,100876.949,False
6/1/2019 10:00:00 PM,6/1/2019 6:00:00 PM,RTO,RTO,RTO,RTO,98853.543,False
6/1/2019 11:00:00 PM,6/1/2019 7:00:00 PM,RTO,RTO,RTO,RTO,94952.377,False
6/2/2019 12:00:00 AM,6/1/2019 8:00:00 PM,RTO,RTO,RTO,RTO,92344.414,False
6/2/2019 1:00:00 AM,6/1/2019 9:00:00 PM,RTO,RTO,RTO,RTO,89720.710,False
6/2/2019 2:00:00 AM,6/1/2019 10:00:00 PM,RTO,RTO,RTO,RTO,84411.171,False
6/2/2019 3:00:00 AM,6/1/2019 11:00:00 PM,RTO,RTO,RTO,RTO,78166.769,False
6/2/2019 4:00:00 AM,6/2/2019 12:00:00 AM,RTO,RTO,RTO,RTO,72420.323,False
