datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da
6/1/2019 4:00:00 AM,6/1/2019 12:00:00 AM,1,PJM,,,ZONE,,19.650833,19.659791,0.000000,0.008957,19.860000,19.860267,0.005317,-0.005050
6/1/2019 5:00:00 AM,6/1/2019 1:00:00 AM,1,PJM,,,ZONE,,19.637500,19.644731,0.000000,0.007231,19.140000,19.140055,-0.000091,0.000146
6/1/2019 6:00:00 AM,6/1/2019 2:00:00 AM,1,PJM,,,ZONE,,17.995000,18.002979,0.000000,0.007979,18.810000,18.815807,0.003333,0.002474
6/1/2019 7:00:00 AM,6/1/2019 3:00:00 AM,1,PJM,,,ZONE,,17.678333,17.688634,0.000000,0.010300,18.150000,18.163580,0.012268,0.001312
6/1/2019 8:00:00 AM,6/1/2019 4:00:00 AM,1,PJM,,,ZONE,,17.478333,17.486085,0.000000,0.007751,17.420000,17.443746,0.018630,0.005116
6/1/2019 9:00:00 AM,6/1/2019 5:00:00 AM,1,PJM,,,ZONE,,19.007500,19.017270,0.000000,0.009770,17.800000,17.808731,0.013463,-0.004732
6/1/2019 10:00:00 AM,6/1/2019 6:00:00 AM,1,PJM,,,ZONE,,18.479167,18.488295,0.000000,0.009128,17.900000,17.890413,-0.007285,-0.002302
6/1/2019 11:00:00 AM,6/1/2019 7:00:00 AM,1,PJM,,,ZONE,,18.963333,18.973313,0.000000,0.009980,19.220000,19.196167,-0.021738,-0.002095
6/1/2019 12:00:00 PM,6/1/2019 8:00:00 AM,1,PJM,,,ZONE,,20.628333,20.640144,0.000000,0.011811,20.140000,20.101439,-0.032230,-0.006331
6/1/2019 1:00:00 PM,6/1/2019 9:00:00 AM,1,PJM,,,ZONE,,21.582500,21.593551,0.000047,0.011004,22.080000,22.048526,-0.020900,-0.010574
6/1/2019 2:00:00 PM,6/1/2019 10:00:00 AM,1,PJM,,,ZONE,,21.832500,21.846877,0.002844,0.011534,24.360000,24.312629,-0.039081,-0.008290
6/1/2019 3:00:00 PM,6/1/2019 11:00:00 AM,1,PJM,,,ZONE,,30.728333,30.764491,0.020287,0.015871,28.000000,27.927949,-0.058428,-0.013623
6/1/2019 4:00:00 PM,6/1/2019 12:00:00 PM,1,PJM,,,ZONE,,34.057500,34.066887,-0.007353,0.016740,28.590000,28.535739,-0.039971,-0.014290
6/1/2019 5:00:00 PM,6/1/2019 1:00:00 PM,1,PJM,,,ZONE,,43.605000,43.639030,0.008644,0.025387,29.890000,29.814515,-0.050025,-0.025460
6/1/2019 6:00:00 PM,6/1/2019 2:00:00 PM,1,PJM,,,ZONE,,34.595000,34.617098,0.001972,0.020126,31.930000,31.836995,-0.065377,-0.027628
6/1/2019 7:00:00 PM,6/1/2019 3:00:00 PM,1,PJM,,,ZONE,,75.522500,75.580800,0.012856,0.045445,32.350000,32.241491,-0.077484,-0.031025
6/1/2019 8:00:00 PM,6/1/2019 4:00:00 PM,1,PJM,,,ZONE,,32.730000,32.764520,0.015283,0.019236,34.740000,34.578770,-0.128873,-0.032357
6/1/2019 9:00:00 PM,6/1/2019 5:00:00 PM,1,PJM,,,ZONE,,42.375833,42.404849,0.002764,0.026252,32.950000,32.772494,-0.145850,-0.031656
