datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
6/1/2019 4:00:00 AM,6/1/2019 12:00:00 AM,RTO,3026.684
6/1/2019 5:00:00 AM,6/1/2019 1:00:00 AM,RTO,2941.553
6/1/2019 6:00:00 AM,6/1/2019 2:00:00 AM,RTO,3222.053
6/1/2019 7:00:00 AM,6/1/2019 3:00:00 AM,RTO,3451.497
6/1/2019 8:00:00 AM,6/1/2019 4:00:00 AM,RTO,3264.981
6/1/2019 9:00:00 AM,6/1/2019 5:00:00 AM,RTO,3055.270
6/1/2019 10:00:00 AM,6/1/2019 6:00:00 AM,RTO,2893.240
6/1/2019 11:00:00 AM,6/1/2019 7:00:00 AM,RTO,2783.631
6/1/2019 12:00:00 PM,6/1/2019 8:00:00 AM,RTO,2429.067
6/1/2019 1:00:00 PM,6/1/2019 9:00:00 AM,RTO,2093.419
6/1/2019 2:00:00 PM,6/1/2019 10:00:00 AM,RTO,2002.423
6/1/2019 3:00:00 PM,6/1/2019 11:00:00 AM,RTO,1995.335
6/1/2019 4:00:00 PM,6/1/2019 12:00:00 PM,RTO,1961.214
6/1/2019 5:00:00 PM,6/1/2019 1:00:00 PM,RTO,2508.102
6/1/2019 6:00:00 PM,6/1/2019 2:00:00 PM,RTO,3148.432
6/1/2019 7:00:00 PM,6/1/2019 3:00:00 PM,RTO,3603.208
6/1/2019 8:00:00 PM,6/1/2019 4:00:00 PM,RTO,3850.069
6/1/2019 9:00:00 PM,6/1/2019 5:00:00 PM,RTO,3984.021
6/1/2019 10:00:00 PM,6/1/2019 6:00:00 PM,RTO,3997.385
6/1/2019 11:00:00 PM,6/1/2019 7:00:00 PM,RTO,3176.241
6/2/2019 12:00:00 AM,6/1/2019 8:00:00 PM,RTO,2882.221
6/2/2019 1:00:00 AM,6/1/2019 9:00:00 PM,RTO,3206.464
6/2/2019 2:00:00 AM,6/1/2019 10:00:00 PM,RTO,2459.307
6/2/2019 3:00:00 AM,6/1/2019 11:00:00 PM,RTO,1433.533
6/2/2019 4:00:00 AM,6/2/2019 12:00:00 AM,RTO,1003.324
6/2/2019 5:00:00 AM,6/2/2019 1:00:00 AM,RTO,1058.635
6/2/2019 6:00:00 AM,6/2/2019 2:00:00 AM,RTO,1258.275
6/2/2019 7:00:00 AM,6/2/2019 3:00:00 AM,RTO,898.068
6/2/2019 8:00:00 AM,6/2/2019 4:00:00 AM,RTO,906.612
6/2/2019 9:00:00 AM,6/2/2019 5:00:00 AM,RTO,1263.609
6/2/2019 10:00:00 AM,6/2/2019 6:00:00 AM,RTO,1427.136
6/2/2019 11:00:00 AM,6/2/2019 7:00:00 AM,RTO,1266.727
6/2/2019 12:00:00 PM,6/2/2019 8:00:00 AM,RTO,1166.473
6/2/2019 1:00:00 PM,6/2/2019 9:00:00 AM,RTO,1357.199
6/2/2019 2:00:00 PM,6/2/2019 10:00:00 AM,RTO,1624.422
6/2/2019 3:00:00 PM,6/2/2019 11:00:00 AM,RTO,1996.091
6/2/2019 4:00:00 PM,6/2/2019 12:00:00 PM,RTO,2685.311
6/2/2019 5:00:00 PM,6/2/2019 1:00:00 PM,RTO,2810.570
6/2/2019 6:00:00 PM,6/2/2019 2:00:00 PM,RTO,2708.714
6/2/2019 7:00:00 PM,6/2/2019 3:00:00 PM,RTO,2624.719
6/2/2019 8:00:00 PM,6/2/2019 4:00:00 PM,RTO,2578.260
6/2/2019 9:00:00 PM,6/2/2019 5:00:00 PM,RTO,2645.113
6/2/2019 10:00:00 PM,6/2/2019 6:00:00 PM,RTO,2813.401
6/2/2019 11:00:00 PM,6/2/2019 7:00:00 PM,RTO,2644.049
6/3/2019 12:00:00 AM,6/2/2019 8:00:00 PM,RTO,2065.195
6/3/2019 1:00:00 AM,6/2/2019 9:00:00 PM,RTO,1638.806
6/3/2019 2:00:00 AM,6/2/2019 10:00:00 PM,RTO,1085.390
6/3/2019 3:00:00 AM,6/2/2019 11:00:00 PM,RTO,805.822
6/3/2019 4:00:00 AM,6/3/2019 12:00:00 AM,RTO,794.336
6/3/2019 5:00:00 AM,6/3/2019 1:00:00 AM,RTO,957.192
6/3/2019 6:00:00 AM,6/3/2019 2:00:00 AM,RTO,1175.759
6/3/2019 7:00:00 AM,6/3/2019 3:00:00 AM,RTO,1401.252
6/3/2019 8:00:00 AM,6/3/2019 4:00:00 AM,RTO,1620.061
6/3/2019 9:00:00 AM,6/3/2019 5:00:00 AM,RTO,1942.682
6/3/2019 10:00:00 AM,6/3/2019 6:00:00 AM,RTO,1769.330
6/3/2019 11:00:00 AM,6/3/2019 7:00:00 AM,RTO,1764.292
6/3/2019 12:00:00 PM,6/3/2019 8:00:00 AM,RTO,1434.264
6/3/2019 1:00:00 PM,6/3/2019 9:00:00 AM,RTO,1450.001
6/3/2019 2:00:00 PM,6/3/2019 10:00:00 AM,RTO,1427.989
6/3/2019 3:00:00 PM,6/3/2019 11:00:00 AM,RTO,1457.223
6/3/2019 4:00:00 PM,6/3/2019 12:00:00 PM,RTO,1433.672
6/3/2019 5:00:00 PM,6/3/2019 1:00:00 PM,RTO,1411.879
6/3/2019 6:00:00 PM,6/3/2019 2:00:00 PM,RTO,1303.756
6/3/2019 7:00:00 PM,6/3/2019 3:00:00 PM,RTO,1099.615
6/3/2019 8:00:00 PM,6/3/2019 4:00:00 PM,RTO,1071.354
6/3/2019 9:00:00 PM,6/3/2019 5:00:00 PM,RTO,1043.192
6/3/2019 10:00:00 PM,6/3/2019 6:00:00 PM,RTO,923.453
6/3/2019 11:00:00 PM,6/3/2019 7:00:00 PM,RTO,792.011
6/4/2019 12:00:00 AM,6/3/2019 8:00:00 PM,RTO,786.364
6/4/2019 1:00:00 AM,6/3/2019 9:00:00 PM,RTO,1131.573
6/4/2019 2:00:00 AM,6/3/2019 10:00:00 PM,RTO,1396.017
6/4/2019 3:00:00 AM,6/3/2019 11:00:00 PM,RTO,1802.251
6/4/2019 4:00:00 AM,6/4/2019 12:00:00 AM,RTO,1949.007
