datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
6/1/2020 4:00:00 AM,6/1/2020 12:00:00 AM,RTO,2625.004
6/1/2020 5:00:00 AM,6/1/2020 1:00:00 AM,RTO,2689.493
6/1/2020 6:00:00 AM,6/1/2020 2:00:00 AM,RTO,2651.153
6/1/2020 7:00:00 AM,6/1/2020 3:00:00 AM,RTO,2352.674
6/1/2020 8:00:00 AM,6/1/2020 4:00:00 AM,RTO,2460.876
6/1/2020 9:00:00 AM,6/1/2020 5:00:00 AM,RTO,2614.676
6/1/2020 10:00:00 AM,6/1/2020 6:00:00 AM,RTO,2692.790
6/1/2020 11:00:00 AM,6/1/2020 7:00:00 AM,RTO,2865.266
6/1/2020 12:00:00 PM,6/1/2020 8:00:00 AM,RTO,2310.200
6/1/2020 1:00:00 PM,6/1/2020 9:00:00 AM,RTO,2400.468
6/1/2020 2:00:00 PM,6/1/2020 10:00:00 AM,RTO,2435.545
6/1/2020 3:00:00 PM,6/1/2020 11:00:00 AM,RTO,2269.200
6/1/2020 4:00:00 PM,6/1/2020 12:00:00 PM,RTO,2564.286
6/1/2020 5:00:00 PM,6/1/2020 1:00:00 PM,RTO,3133.559
6/1/2020 6:00:00 PM,6/1/2020 2:00:00 PM,RTO,3370.991
6/1/2020 7:00:00 PM,6/1/2020 3:00:00 PM,RTO,3466.070
6/1/2020 8:00:00 PM,6/1/2020 4:00:00 PM,RTO,3955.926
6/1/2020 9:00:00 PM,6/1/2020 5:00:00 PM,RTO,4455.213
6/1/2020 10:00:00 PM,6/1/2020 6:00:00 PM,RTO,4351.039
6/1/2020 11:00:00 PM,6/1/2020 7:00:00 PM,RTO,4609.012
6/2/2020 12:00:00 AM,6/1/2020 8:00:00 PM,RTO,4951.723
6/2/2020 1:00:00 AM,6/1/2020 9:00:00 PM,RTO,5172.738
6/2/2020 2:00:00 AM,6/1/2020 10:00:00 PM,RTO,5004.722
6/2/2020 3:00:00 AM,6/1/2020 11:00:00 PM,RTO,5174.586
6/2/2020 4:00:00 AM,6/2/2020 12:00:00 AM,RTO,5374.507
6/2/2020 5:00:00 AM,6/2/2020 1:00:00 AM,RTO,5294.724
6/2/2020 6:00:00 AM,6/2/2020 2:00:00 AM,RTO,5508.998
6/2/2020 7:00:00 AM,6/2/2020 3:00:00 AM,RTO,5426.342
6/2/2020 8:00:00 AM,6/2/2020 4:00:00 AM,RTO,5265.759
6/2/2020 9:00:00 AM,6/2/2020 5:00:00 AM,RTO,5498.802
6/2/2020 10:00:00 AM,6/2/2020 6:00:00 AM,RTO,5628.229
6/2/2020 11:00:00 AM,6/2/2020 7:00:00 AM,RTO,5676.180
6/2/2020 12:00:00 PM,6/2/2020 8:00:00 AM,RTO,5442.487
6/2/2020 1:00:00 PM,6/2/2020 9:00:00 AM,RTO,5727.866
6/2/2020 2:00:00 PM,6/2/2020 10:00:00 AM,RTO,6063.522
6/2/2020 3:00:00 PM,6/2/2020 11:00:00 AM,RTO,6105.606
6/2/2020 4:00:00 PM,6/2/2020 12:00:00 PM,RTO,5700.447
6/2/2020 5:00:00 PM,6/2/2020 1:00:00 PM,RTO,5160.313
6/2/2020 6:00:00 PM,6/2/2020 2:00:00 PM,RTO,5379.775
6/2/2020 7:00:00 PM,6/2/2020 3:00:00 PM,RTO,6012.913
6/2/2020 8:00:00 PM,6/2/2020 4:00:00 PM,RTO,6338.780
6/2/2020 9:00:00 PM,6/2/2020 5:00:00 PM,RTO,6584.536
6/2/2020 10:00:00 PM,6/2/2020 6:00:00 PM,RTO,6560.015
6/2/2020 11:00:00 PM,6/2/2020 7:00:00 PM,RTO,6410.331
6/3/2020 12:00:00 AM,6/2/2020 8:00:00 PM,RTO,6321.607
6/3/2020 1:00:00 AM,6/2/2020 9:00:00 PM,RTO,6639.560
6/3/2020 2:00:00 AM,6/2/2020 10:00:00 PM,RTO,6647.875
6/3/2020 3:00:00 AM,6/2/2020 11:00:00 PM,RTO,6682.232
6/3/2020 4:00:00 AM,6/3/2020 12:00:00 AM,RTO,6751.311
6/3/2020 5:00:00 AM,6/3/2020 1:00:00 AM,RTO,6236.147
6/3/2020 6:00:00 AM,6/3/2020 2:00:00 AM,RTO,5387.203
6/3/2020 7:00:00 AM,6/3/2020 3:00:00 AM,RTO,4744.634
