datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
6/1/2020 4:00:00 AM,6/1/2020 12:00:00 AM,RTO,-3.053
6/1/2020 5:00:00 AM,6/1/2020 1:00:00 AM,RTO,-3.927
6/1/2020 6:00:00 AM,6/1/2020 2:00:00 AM,RTO,-3.115
6/1/2020 7:00:00 AM,6/1/2020 3:00:00 AM,RTO,-2.897
6/1/2020 8:00:00 AM,6/1/2020 4:00:00 AM,RTO,-2.828
6/1/2020 9:00:00 AM,6/1/2020 5:00:00 AM,RTO,0.790
6/1/2020 10:00:00 AM,6/1/2020 6:00:00 AM,RTO,185.608
6/1/2020 11:00:00 AM,6/1/2020 7:00:00 AM,RTO,905.105
6/1/2020 12:00:00 PM,6/1/2020 8:00:00 AM,RTO,1431.153
6/1/2020 1:00:00 PM,6/1/2020 9:00:00 AM,RTO,1620.477
6/1/2020 2:00:00 PM,6/1/2020 10:00:00 AM,RTO,1767.489
6/1/2020 3:00:00 PM,6/1/2020 11:00:00 AM,RTO,1755.568
6/1/2020 4:00:00 PM,6/1/2020 12:00:00 PM,RTO,1736.125
6/1/2020 5:00:00 PM,6/1/2020 1:00:00 PM,RTO,1659.094
6/1/2020 6:00:00 PM,6/1/2020 2:00:00 PM,RTO,1603.656
6/1/2020 7:00:00 PM,6/1/2020 3:00:00 PM,RTO,1570.661
6/1/2020 8:00:00 PM,6/1/2020 4:00:00 PM,RTO,1482.694
6/1/2020 9:00:00 PM,6/1/2020 5:00:00 PM,RTO,1368.228
6/1/2020 10:00:00 PM,6/1/2020 6:00:00 PM,RTO,922.760
6/1/2020 11:00:00 PM,6/1/2020 7:00:00 PM,RTO,240.648
6/2/2020 12:00:00 AM,6/1/2020 8:00:00 PM,RTO,2.790
6/2/2020 1:00:00 AM,6/1/2020 9:00:00 PM,RTO,-3.036
6/2/2020 2:00:00 AM,6/1/2020 10:00:00 PM,RTO,-3.044
6/2/2020 3:00:00 AM,6/1/2020 11:00:00 PM,RTO,-3.780
6/2/2020 4:00:00 AM,6/2/2020 12:00:00 AM,RTO,-3.036
6/2/2020 5:00:00 AM,6/2/2020 1:00:00 AM,RTO,-3.033
6/2/2020 6:00:00 AM,6/2/2020 2:00:00 AM,RTO,-2.958
6/2/2020 7:00:00 AM,6/2/2020 3:00:00 AM,RTO,-2.949
6/2/2020 8:00:00 AM,6/2/2020 4:00:00 AM,RTO,-2.999
6/2/2020 9:00:00 AM,6/2/2020 5:00:00 AM,RTO,0.526
6/2/2020 10:00:00 AM,6/2/2020 6:00:00 AM,RTO,166.420
6/2/2020 11:00:00 AM,6/2/2020 7:00:00 AM,RTO,550.311
6/2/2020 12:00:00 PM,6/2/2020 8:00:00 AM,RTO,697.324
6/2/2020 1:00:00 PM,6/2/2020 9:00:00 AM,RTO,607.288
6/2/2020 2:00:00 PM,6/2/2020 10:00:00 AM,RTO,631.197
6/2/2020 3:00:00 PM,6/2/2020 11:00:00 AM,RTO,865.919
6/2/2020 4:00:00 PM,6/2/2020 12:00:00 PM,RTO,1207.032
6/2/2020 5:00:00 PM,6/2/2020 1:00:00 PM,RTO,1336.546
6/2/2020 6:00:00 PM,6/2/2020 2:00:00 PM,RTO,1436.432
6/2/2020 7:00:00 PM,6/2/2020 3:00:00 PM,RTO,1388.138
6/2/2020 8:00:00 PM,6/2/2020 4:00:00 PM,RTO,1207.959
