forecast_execution_date_ept,forecast_date,region,total_outages_mw,planned_outages_mw,maintenance_outages_mw,forced_outages_mw
6/1/2021 12:00:00 AM,6/1/2021 12:00:00 AM,PJM RTO,30429,13949,11118,5362
6/1/2021 12:00:00 AM,6/2/2021 12:00:00 AM,PJM RTO,27033,13428,11543,2062
6/1/2021 12:00:00 AM,6/3/2021 12:00:00 AM,PJM RTO,24080,13152,8968,1960
6/1/2021 12:00:00 AM,6/4/2021 12:00:00 AM,PJM RTO,21785,12567,7287,1931
6/1/2021 12:00:00 AM,6/5/2021 12:00:00 AM,PJM RTO,22526,12389,8219,1918
6/1/2021 12:00:00 AM,6/6/2021 12:00:00 AM,PJM RTO,19712,11815,6863,1034
6/1/2021 12:00:00 AM,6/7/2021 12:00:00 AM,PJM RTO,15595,9191,5374,1030
5/31/2021 12:00:00 AM,5/31/2021 12:00:00 AM,PJM RTO,32136,14833,10870,6433
5/31/2021 12:00:00 AM,6/1/2021 12:00:00 AM,PJM RTO,30902,13949,12032,4921
5/31/2021 12:00:00 AM,6/2/2021 12:00:00 AM,PJM RTO,26288,13428,11135,1725
5/31/2021 12:00:00 AM,6/3/2021 12:00:00 AM,PJM RTO,23384,13152,8560,1672
5/31/2021 12:00:00 AM,6/4/2021 12:00:00 AM,PJM RTO,21495,12567,7270,1658
5/31/2021 12:00:00 AM,6/5/2021 12:00:00 AM,PJM RTO,22223,12389,8202,1632
5/31/2021 12:00:00 AM,6/6/2021 12:00:00 AM,PJM RTO,19077,11815,6514,748
5/30/2021 12:00:00 AM,5/30/2021 12:00:00 AM,PJM RTO,36066,15238,13006,7822
5/30/2021 12:00:00 AM,5/31/2021 12:00:00 AM,PJM RTO,32522,15162,12829,4531
5/30/2021 12:00:00 AM,6/1/2021 12:00:00 AM,PJM RTO,30895,14278,13120,3497
5/30/2021 12:00:00 AM,6/2/2021 12:00:00 AM,PJM RTO,26399,13428,11377,1594
5/30/2021 12:00:00 AM,6/3/2021 12:00:00 AM,PJM RTO,23580,13152,8834,1594
5/30/2021 12:00:00 AM,6/4/2021 12:00:00 AM,PJM RTO,21384,12567,7237,1580
5/30/2021 12:00:00 AM,6/5/2021 12:00:00 AM,PJM RTO,22156,12389,8213,1554
5/29/2021 12:00:00 AM,5/29/2021 12:00:00 AM,PJM RTO,39295,15414,15343,8538
5/29/2021 12:00:00 AM,5/30/2021 12:00:00 AM,PJM RTO,34460,15238,13282,5940
5/29/2021 12:00:00 AM,5/31/2021 12:00:00 AM,PJM RTO,30353,15162,9923,5268
5/29/2021 12:00:00 AM,6/1/2021 12:00:00 AM,PJM RTO,27782,14278,11595,1909
5/29/2021 12:00:00 AM,6/2/2021 12:00:00 AM,PJM RTO,25179,13428,10137,1614
5/29/2021 12:00:00 AM,6/3/2021 12:00:00 AM,PJM RTO,22194,13152,7428,1614
5/29/2021 12:00:00 AM,6/4/2021 12:00:00 AM,PJM RTO,20851,12567,6684,1600
5/28/2021 12:00:00 AM,5/28/2021 12:00:00 AM,PJM RTO,41808,17180,12596,12032
5/28/2021 12:00:00 AM,5/29/2021 12:00:00 AM,PJM RTO,41123,16805,16448,7870
5/28/2021 12:00:00 AM,5/30/2021 12:00:00 AM,PJM RTO,35053,15617,13514,5922
5/28/2021 12:00:00 AM,5/31/2021 12:00:00 AM,PJM RTO,28494,13977,10090,4427
5/28/2021 12:00:00 AM,6/1/2021 12:00:00 AM,PJM RTO,25071,12800,10882,1389
5/28/2021 12:00:00 AM,6/2/2021 12:00:00 AM,PJM RTO,21960,12927,7694,1339
5/28/2021 12:00:00 AM,6/3/2021 12:00:00 AM,PJM RTO,18623,12651,4633,1339
5/27/2021 12:00:00 AM,5/27/2021 12:00:00 AM,PJM RTO,40983,19578,12000,9405
5/27/2021 12:00:00 AM,5/28/2021 12:00:00 AM,PJM RTO,37854,19294,11294,7266
5/27/2021 12:00:00 AM,5/29/2021 12:00:00 AM,PJM RTO,35155,16677,12658,5820
5/27/2021 12:00:00 AM,5/30/2021 12:00:00 AM,PJM RTO,28889,15288,9679,3922
5/27/2021 12:00:00 AM,5/31/2021 12:00:00 AM,PJM RTO,24845,13648,7327,3870
5/27/2021 12:00:00 AM,6/1/2021 12:00:00 AM,PJM RTO,21422,12167,7595,1660
5/27/2021 12:00:00 AM,6/2/2021 12:00:00 AM,PJM RTO,18871,12342,5000,1529
5/26/2021 12:00:00 AM,5/26/2021 12:00:00 AM,PJM RTO,39315,20466,9165,9684
5/26/2021 12:00:00 AM,5/27/2021 12:00:00 AM,PJM RTO,37405,19746,11349,6310
5/26/2021 12:00:00 AM,5/28/2021 12:00:00 AM,PJM RTO,36742,19462,11447,5833
5/26/2021 12:00:00 AM,5/29/2021 12:00:00 AM,PJM RTO,35147,16606,13117,5424
5/26/2021 12:00:00 AM,5/30/2021 12:00:00 AM,PJM RTO,28502,15217,9759,3526
5/26/2021 12:00:00 AM,5/31/2021 12:00:00 AM,PJM RTO,23356,12835,7049,3472
5/26/2021 12:00:00 AM,6/1/2021 12:00:00 AM,PJM RTO,20068,11354,6616,2098
5/25/2021 12:00:00 AM,5/25/2021 12:00:00 AM,PJM RTO,36342,21378,9044,5920
5/25/2021 12:00:00 AM,5/26/2021 12:00:00 AM,PJM RTO,34010,20575,8204,5231
5/25/2021 12:00:00 AM,5/27/2021 12:00:00 AM,PJM RTO,33765,19570,9094,5101
5/25/2021 12:00:00 AM,5/28/2021 12:00:00 AM,PJM RTO,32535,19286,8505,4744
5/25/2021 12:00:00 AM,5/29/2021 12:00:00 AM,PJM RTO,31171,16874,9731,4566
5/25/2021 12:00:00 AM,5/30/2021 12:00:00 AM,PJM RTO,25365,15661,7036,2668
5/25/2021 12:00:00 AM,5/31/2021 12:00:00 AM,PJM RTO,21285,12620,6115,2550
5/24/2021 12:00:00 AM,5/24/2021 12:00:00 AM,PJM RTO,40568,22300,10332,7936
5/24/2021 12:00:00 AM,5/25/2021 12:00:00 AM,PJM RTO,35532,21378,8914,5240
5/24/2021 12:00:00 AM,5/26/2021 12:00:00 AM,PJM RTO,32903,20499,7172,5232
5/24/2021 12:00:00 AM,5/27/2021 12:00:00 AM,PJM RTO,32737,19494,8161,5082
5/24/2021 12:00:00 AM,5/28/2021 12:00:00 AM,PJM RTO,31401,19214,7445,4742
